PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-11-02T23:40:00Z,50.7405,1.5677,14.833,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-03T00:00:01Z,50.7405,1.5677,,,22.242,,1.4,,,,,,,,,,0011199097999999999
6200443,0x3f,2024-11-03T01:00:00Z,50.7405,1.5677,14.837,0.038,,0.006,28.357,0.04,0,0.082,61,,0.66,,0,0,0011114941401191943
6200443,0x3f,2024-11-03T01:20:00Z,50.7405,1.5677,14.808,0.038,,0.006,28.357,0.04,0,0.076,61,,0.648,,0,0,0011114941401191943
6200443,0x3f,2024-11-03T01:40:00Z,50.7405,1.5677,14.81,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941404191943
6200443,0x3f,2024-11-03T02:00:01Z,50.7405,1.5677,14.813,0.036,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941404191943
6200443,0x3f,2024-11-03T02:20:00Z,50.7405,1.5677,14.793,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941404191943
6200443,0x3f,2024-11-03T02:40:00Z,50.7405,1.5677,14.776,0.036,,0.006,28.357,0.04,0,0.126,61,,0.648,,0,0,0011114941401191943
6200443,0x3f,2024-11-03T03:00:00Z,50.7405,1.5677,14.775,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941404191943
6200443,0x3f,2024-11-03T03:20:00Z,50.7405,1.5677,14.763,0.036,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941404191943
